"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"TP21,TP29,TP28,TP27,TP26,TP25,TP24,TP23,TP22,TP20,TP19,TP18,TP17,TP16,TP15,TP14,TP13,TP12,TP11,TP10,TP9,TP8,TP7,TP6,TP5,TP4,TP3,TP2,TP1";"TestPoint_Pad_D2.0mm";29;"TestPoint";;;
2;"R37,R36,R34,R33,R32,R30,R29,R28,R27,R23,R20,R10,R26,R24,R22,R21";"R_0402_1005Metric";16;"10";;;
3;"R35,R6,R3,R2,R1";"R_0402_1005Metric";5;"10k";;;
4;"C27,C23,C22,C21,C14,C13,C11,C10,C9,C1";"C_0603_1608Metric";10;"10u";;;
5;"C26,C20,C19,C16,C15,C12,C7";"C_0402_1005Metric";7;"1u";;;
6;"C25,C24,C8,C6,C5,C4,C3,C2";"C_0402_1005Metric";8;"0.1u";;;
7;"U12";"ISL29035-DFN-6-1.5x1.6mm_Pitch0.5mm_HC";1;"ISL29035";;;
8;"U11";"Bosch_LGA-8_2x2.5mm_P0.65mm_ClockwisePinNumbering";1;"SPL06";;;
9;"R14";"R_0603_1608Metric";1;"82k";;;
10;"D6";"LED_0603_1608Metric";1;"Blue";;;
11;"D7";"D_SMA_DO-214AC";1;"D";;;
12;"Q1";"SO-8_3.9x4.9mm_P1.27mm";1;"Q_DUAL_PMOS_S1G1S2G2D2D2D1D1";;;
13;"F1";"L_1210_3225Metric";1;"C207047";;;
14;"J10";"Molex_PicoBlade_53261-0271_1x02-1MP_P1.25mm_Horizontal";1;" A1251WR-S-2P";;;
15;"U1";"ESP32-S2-WROVER";1;"ESP32-S2-WROVER";;;
16;"SW4,SW3,SW2";"SW_SPST_B3S-1000";3;"SW_MEC_5E";;;
17;"R31";"R_0402_1005Metric";1;"DNP";;;
18;"J9";"Hirose_FH12-40S-0.5SH_1x40-1MP_P0.50mm_Horizontal_flipped";1;"Conn_01x40_Female";;;
19;"J6";"PinHeader_2x08_P2.54mm_Vertical";1;"DNP";;;
20;"U10,U9,U8,U7,U6,U5";"Diodes_UDFN-10_1.0x2.5mm_P0.5mm";6;"ESD5304D";;;
21;"Y1";"Crystal_SMD_SeikoEpson_MC306-4Pin_8.0x3.2mm";1;"Crystal_GND23";;;
22;"R25,R5,R4,R19,R9";"R_0402_1005Metric";5;"100k";;;
23;"R18,R17,R15";"R_0402_1005Metric";3;"1k";;;
24;"C18,C17";"C_0402_1005Metric";2;"20pF";;;
25;"R12,R11,R16";"R_0402_1005Metric";3;"1.5k";;;
26;"H5";"MountingHole_2.5mm";1;"MountingHole";;;
27;"SW1";"MSK12C02";1;"SW_SPDT_WTH_GND";;;
28;"H4,H3,H2,H1";"MountingHole_2.7mm_M2.5";4;"MountingHole_Pad";;;
29;"U2";"Texas_PWSON-N6";1;"HDC2080";;;
30;"TH1";"R_0805_2012Metric";1;"Thermistor_NTC";;;
31;"J8";"Hirose_FH12-6S-0.5SH_1x06-1MP_P0.50mm_Horizontal";1;"Conn_01x06_Female";;;
32;"J7";"Tag-Connect_TC2030-IDC-NL_2x03_P1.27mm_Vertical";1;"Conn_02x03_Odd_Even";;;
33;"J5";"Molex_CLIK-Mate_502443-0470_1x04-1MP_P2.00mm_Vertical";1;"Conn_01x04_MountingPin";;;
34;"J4,J3";"Molex_CLIK-Mate_502443-0370_1x03-1MP_P2.00mm_Vertical";2;"Conn_01x03_MountingPin";;;
35;"U4";"SOT-23-5";1;"AP2112K-3.3";;;
36;"U3";"TP4056_SOP-8-PP";1;"TP4056";;;
37;"R13";"R_0402_1005Metric";1;"4.7k";;;
38;"R8,R7";"R_0402_1005Metric";2;"5.1k";;;
39;"J1";"USB_C_Receptacle_Palconn_UTC16-G";1;"USB_C_Receptacle_USB2.0";;;
40;"D5";"LED_0805_2012Metric";1;"RED";;;
41;"D4,D1";"LED_0805_2012Metric";2;"Green";;;
42;"D3,D2";"LED_0805_2012Metric";2;"Yellow";;;
